playerID,yearID,lgID,POS,awardID,gold_glove,Training_Validation
adamecr01,2015,NL,SS,,NO,Training
adamecr01,2016,NL,2B,,NO,Training
adamecr01,2016,NL,3B,,NO,Training
adamecr01,2016,NL,SS,,NO,Training
adamecr01,2017,NL,1B,,NO,Training
adamecr01,2017,NL,2B,,NO,Training
adamecr01,2017,NL,SS,,NO,Training
adamecr01,2019,NL,2B,,NO,Training
adamecr01,2019,NL,3B,,NO,Training
adamewi01,2018,AL,2B,,NO,Training
adamewi01,2018,AL,SS,,NO,Training
adamewi01,2019,AL,SS,,NO,Training
adamewi01,2020,AL,SS,,NO,Training
adamewi01,2021,AL,SS,,NO,Training
adamewi01,2021,NL,SS,,NO,Training
adamewi01,2022,NL,SS,,NO,Training
adamewi01,2023,NL,SS,,NO,Validation
adamja01,2018,AL,P,,NO,Training
adamja01,2019,AL,P,,NO,Training
adamja01,2020,NL,P,,NO,Training
adamja01,2021,NL,P,,NO,Training
adamja01,2022,AL,P,,NO,Training
adamja01,2023,AL,P,,NO,Validation
adamsau01,2014,AL,P,,NO,Training
adamsau01,2015,AL,P,,NO,Training
adamsau01,2016,AL,P,,NO,Training
adamsau01,2019,AL,P,,NO,Training
adamsau01,2019,AL,P,,NO,Training
adamsau02,2017,NL,P,,NO,Training
adamsau02,2018,NL,P,,NO,Training
adamsau02,2019,NL,P,,NO,Training
adamsau02,2019,AL,P,,NO,Training
adamsau02,2020,NL,P,,NO,Training
adamsau02,2021,NL,P,,NO,Training
adamsau02,2022,NL,P,,NO,Training
adamsau02,2023,NL,P,,NO,Validation
adamsch01,2018,AL,P,,NO,Training
adamsch01,2019,AL,P,,NO,Training
adamsch01,2020,AL,P,,NO,Training
adamsda02,2013,AL,1B,,NO,Training
adamsda02,2013,AL,2B,,NO,Training
adamsda02,2013,AL,3B,,NO,Training
adamsjo03,2023,AL,OF,,NO,Validation
adamsla01,2014,AL,OF,,NO,Training
adamsla01,2017,NL,OF,,NO,Training
adamsla01,2018,NL,OF,,NO,Training
adamsma01,2013,NL,1B,,NO,Training
adamsma01,2014,NL,1B,,NO,Training
adamsma01,2015,NL,1B,,NO,Training
adamsma01,2016,NL,1B,,NO,Training
adamsma01,2017,NL,1B,,NO,Training
adamsma01,2017,NL,OF,,NO,Training
adamsma01,2017,NL,1B,,NO,Training
adamsma01,2017,NL,OF,,NO,Training
adamsma01,2018,NL,1B,,NO,Training
adamsma01,2018,NL,OF,,NO,Training
adamsma01,2018,NL,1B,,NO,Training
adamsma01,2019,NL,1B,,NO,Training
adamsma01,2020,NL,1B,,NO,Training
adamsma01,2021,NL,1B,,NO,Training
adamsmi03,2013,NL,P,,NO,Training
adamsmi03,2014,NL,P,,NO,Training
adamsri03,2021,AL,C,,NO,Training
adamsri03,2021,NL,C,,NO,Training
adamsri03,2022,NL,1B,,NO,Training
adamsri03,2022,NL,C,,NO,Training
adamsri03,2023,NL,C,,NO,Validation
adcocna01,2014,AL,P,,NO,Training
adcocna01,2015,NL,P,,NO,Training
adcocty01,2023,AL,P,,NO,Validation
adducji02,2013,AL,1B,,NO,Training
adducji02,2013,AL,OF,,NO,Training
adducji02,2014,AL,1B,,NO,Training
adducji02,2014,AL,OF,,NO,Training
adducji02,2017,AL,OF,,NO,Training
adducji02,2018,AL,1B,,NO,Training
adducji02,2019,NL,OF,,NO,Training
adelljo01,2020,AL,OF,,NO,Training
adelljo01,2021,AL,OF,,NO,Training
adelljo01,2022,AL,OF,,NO,Training
adelljo01,2023,AL,OF,,NO,Validation
adlemti01,2016,NL,P,,NO,Training
adlemti01,2017,NL,P,,NO,Training
adonjo01,2021,NL,P,,NO,Training
adonjo01,2022,NL,P,,NO,Training
adonjo01,2023,NL,P,,NO,Validation
adriaeh01,2013,NL,SS,,NO,Training
adriaeh01,2014,NL,2B,,NO,Training
adriaeh01,2014,NL,3B,,NO,Training
adriaeh01,2014,NL,SS,,NO,Training
adriaeh01,2015,NL,1B,,NO,Training
adriaeh01,2015,NL,2B,,NO,Training
adriaeh01,2015,NL,3B,,NO,Training
adriaeh01,2015,NL,SS,,NO,Training
adriaeh01,2016,NL,2B,,NO,Training
adriaeh01,2016,NL,3B,,NO,Training
adriaeh01,2016,NL,SS,,NO,Training
adriaeh01,2017,AL,1B,,NO,Training
adriaeh01,2017,AL,2B,,NO,Training
adriaeh01,2017,AL,3B,,NO,Training
adriaeh01,2017,AL,OF,,NO,Training
adriaeh01,2017,AL,SS,,NO,Training
adriaeh01,2018,AL,1B,,NO,Training
adriaeh01,2018,AL,2B,,NO,Training
adriaeh01,2018,AL,3B,,NO,Training
adriaeh01,2018,AL,OF,,NO,Training
adriaeh01,2018,AL,SS,,NO,Training
adriaeh01,2019,AL,1B,,NO,Training
adriaeh01,2019,AL,2B,,NO,Training
adriaeh01,2019,AL,3B,,NO,Training
adriaeh01,2019,AL,OF,,NO,Training
adriaeh01,2019,AL,P,,NO,Training
adriaeh01,2019,AL,SS,,NO,Training
adriaeh01,2020,AL,2B,,NO,Training
adriaeh01,2020,AL,3B,,NO,Training
adriaeh01,2020,AL,P,,NO,Training
adriaeh01,2020,AL,SS,,NO,Training
adriaeh01,2021,NL,2B,,NO,Training
adriaeh01,2021,NL,3B,,NO,Training
adriaeh01,2021,NL,OF,,NO,Training
adriaeh01,2021,NL,SS,,NO,Training
adriaeh01,2022,NL,2B,,NO,Training
adriaeh01,2022,NL,3B,,NO,Training
adriaeh01,2022,NL,OF,,NO,Training
adriaeh01,2022,NL,P,,NO,Training
adriaeh01,2022,NL,SS,,NO,Training
adriaeh01,2022,NL,2B,,NO,Training
adriaeh01,2022,NL,3B,,NO,Training
adriaeh01,2022,NL,SS,,NO,Training
adriaeh01,2023,NL,SS,,NO,Validation
affelje01,2013,NL,P,,NO,Training
affelje01,2014,NL,P,,NO,Training
affelje01,2015,NL,P,,NO,Training
agrazda01,2019,NL,P,,NO,Training
aguilje01,2014,AL,1B,,NO,Training
aguilje01,2014,AL,3B,,NO,Training
aguilje01,2015,AL,1B,,NO,Training
aguilje01,2016,AL,1B,,NO,Training
aguilje01,2017,NL,1B,,NO,Training
aguilje01,2017,NL,3B,,NO,Training
aguilje01,2018,NL,1B,,NO,Training
aguilje01,2018,NL,3B,,NO,Training
aguilje01,2019,NL,1B,,NO,Training
aguilje01,2019,NL,3B,,NO,Training
aguilje01,2019,AL,1B,,NO,Training
aguilje01,2020,NL,1B,,NO,Training
aguilje01,2020,NL,3B,,NO,Training
aguilje01,2021,NL,1B,,NO,Training
aguilje01,2021,NL,3B,,NO,Training
aguilje01,2022,NL,1B,,NO,Training
aguilje01,2022,NL,3B,,NO,Training
aguilje01,2022,AL,1B,,NO,Training
aguilje01,2023,AL,1B,,NO,Validation
aguilmi01,2021,NL,P,,NO,Training
aguilry01,2022,AL,1B,,NO,Training
aguilry01,2022,AL,OF,,NO,Training
ahmedni01,2014,NL,2B,,NO,Training
ahmedni01,2014,NL,SS,,NO,Training
ahmedni01,2015,NL,SS,,NO,Training
ahmedni01,2016,NL,SS,,NO,Training
ahmedni01,2017,NL,SS,,NO,Training
ahmedni01,2018,NL,SS,Gold Glove,Yes,Training
ahmedni01,2019,NL,SS,Gold Glove,Yes,Training
ahmedni01,2020,NL,SS,,NO,Training
ahmedni01,2021,NL,SS,,NO,Training
ahmedni01,2022,NL,SS,,NO,Training
ahmedni01,2023,NL,SS,,NO,Validation
akinke01,2020,AL,P,,NO,Training
akinke01,2021,AL,P,,NO,Training
akinke01,2022,AL,P,,NO,Training
akinke01,2023,AL,P,,NO,Validation
akiyash01,2020,NL,OF,,NO,Training
akiyash01,2021,NL,OF,,NO,Training
alanirj01,2019,AL,P,,NO,Training
alanirj01,2019,NL,P,,NO,Training
alanirj01,2021,NL,P,,NO,Training
alberan01,2013,AL,P,,NO,Training
alberan01,2015,AL,P,,NO,Training
alberan01,2016,AL,P,,NO,Training
alberan01,2017,AL,P,,NO,Training
alberan01,2021,AL,P,,NO,Training
alberha01,2015,AL,2B,,NO,Training
alberha01,2015,AL,3B,,NO,Training
alberha01,2015,AL,SS,,NO,Training
alberha01,2016,AL,1B,,NO,Training
alberha01,2016,AL,2B,,NO,Training
alberha01,2016,AL,3B,,NO,Training
alberha01,2016,AL,SS,,NO,Training
alberha01,2018,AL,2B,,NO,Training
alberha01,2018,AL,3B,,NO,Training
alberha01,2018,AL,SS,,NO,Training
alberha01,2019,AL,2B,,NO,Training
alberha01,2019,AL,3B,,NO,Training
alberha01,2019,AL,OF,,NO,Training
alberha01,2019,AL,P,,NO,Training
alberha01,2020,AL,2B,,NO,Training
alberha01,2020,AL,3B,,NO,Training
alberha01,2021,AL,2B,,NO,Training
alberha01,2021,AL,3B,,NO,Training
alberha01,2021,AL,P,,NO,Training
alberha01,2021,AL,SS,,NO,Training
alberha01,2022,NL,1B,,NO,Training
alberha01,2022,NL,2B,,NO,Training
alberha01,2022,NL,3B,,NO,Training
alberha01,2022,NL,OF,,NO,Training
alberha01,2022,NL,P,,NO,Training
alberha01,2022,NL,SS,,NO,Training
alberha01,2023,AL,1B,,NO,Validation
alberha01,2023,AL,2B,,NO,Validation
alberha01,2023,AL,3B,,NO,Validation
alberha01,2023,AL,P,,NO,Validation
alberma01,2013,AL,P,,NO,Training
alberma01,2014,AL,P,,NO,Training
alberma01,2015,AL,P,,NO,Training
alberma01,2016,AL,P,,NO,Training
alberma01,2017,NL,P,,NO,Training
alberma01,2018,NL,P,,NO,Training
alberma01,2019,NL,P,,NO,Training
albieoz01,2017,NL,2B,,NO,Training
albieoz01,2018,NL,2B,,NO,Training
albieoz01,2019,NL,2B,,NO,Training
albieoz01,2020,NL,2B,,NO,Training
albieoz01,2021,NL,2B,,NO,Training
albieoz01,2022,NL,2B,,NO,Training
albieoz01,2023,NL,2B,,NO,Validation
albural01,2013,AL,P,,NO,Training
albural01,2014,AL,P,,NO,Training
albural01,2015,AL,P,,NO,Training
albural01,2016,AL,P,,NO,Training
albural01,2017,AL,P,,NO,Training
albural01,2017,AL,P,,NO,Training
alcaljo01,2019,AL,P,,NO,Training
alcaljo01,2020,AL,P,,NO,Training
alcaljo01,2021,AL,P,,NO,Training
alcaljo01,2022,AL,P,,NO,Training
alcaljo01,2023,AL,P,,NO,Validation
alcanar01,2014,NL,2B,,NO,Training
alcanar01,2014,NL,OF,,NO,Training
alcanar01,2015,NL,2B,,NO,Training
alcanar01,2015,NL,3B,,NO,Training
alcanar01,2016,AL,2B,,NO,Training
alcanar01,2016,AL,OF,,NO,Training
alcanar01,2016,AL,SS,,NO,Training
alcanar01,2017,NL,2B,,NO,Training
alcanar01,2017,NL,3B,,NO,Training
alcanar01,2017,NL,OF,,NO,Training
alcanar01,2017,NL,SS,,NO,Training
alcanra01,2016,AL,P,,NO,Training
alcanra01,2017,AL,P,,NO,Training
alcansa01,2017,NL,P,,NO,Training
alcansa01,2018,NL,P,,NO,Training
alcansa01,2019,NL,P,,NO,Training
alcansa01,2020,NL,P,,NO,Training
alcansa01,2021,NL,P,,NO,Training
alcansa01,2022,NL,P,,NO,Training
alcansa01,2023,NL,P,,NO,Validation
alcanse01,2020,AL,2B,,NO,Training
alcanse01,2020,AL,3B,,NO,Training
alcanse01,2021,NL,2B,,NO,Training
alcanse01,2021,NL,3B,,NO,Training
alcanse01,2021,NL,P,,NO,Training
alcanse01,2021,NL,SS,,NO,Training
alcanse01,2022,NL,2B,,NO,Training
alcanse01,2022,NL,3B,,NO,Training
alcanse01,2022,NL,SS,,NO,Training
alcanse01,2022,NL,2B,,NO,Training
alcanse01,2022,NL,3B,,NO,Training
alcanse01,2022,NL,SS,,NO,Training
alcanse01,2022,NL,2B,,NO,Training
alcanse01,2022,NL,3B,,NO,Training
alcanse01,2022,NL,SS,,NO,Training
alcanvi01,2017,AL,P,,NO,Training
alcanvi01,2018,AL,P,,NO,Training
alcanvi01,2019,AL,P,,NO,Training
alexaja01,2022,NL,P,,NO,Training
alexasc01,2015,AL,P,,NO,Training
alexasc01,2016,AL,P,,NO,Training
alexasc01,2017,AL,P,,NO,Training
alexasc01,2018,NL,P,,NO,Training
alexasc01,2019,NL,P,,NO,Training
alexasc01,2020,NL,P,,NO,Training
alexasc01,2021,NL,P,,NO,Training
alexasc01,2022,NL,P,,NO,Training
alexasc01,2023,NL,P,,NO,Validation
alexaty01,2019,AL,P,,NO,Training
alexaty01,2020,AL,P,,NO,Training
alexaty01,2021,AL,P,,NO,Training
alexaty01,2022,AL,P,,NO,Training
alexaty01,2023,AL,P,,NO,Validation
alexyaj01,2021,AL,P,,NO,Training
alexyaj01,2022,AL,P,,NO,Training
alfarjo01,2016,NL,C,,NO,Training
alfarjo01,2017,NL,1B,,NO,Training
alfarjo01,2017,NL,C,,NO,Training
alfarjo01,2018,NL,3B,,NO,Training
alfarjo01,2018,NL,C,,NO,Training
alfarjo01,2019,NL,1B,,NO,Training
alfarjo01,2019,NL,C,,NO,Training
alfarjo01,2020,NL,C,,NO,Training
alfarjo01,2020,NL,OF,,NO,Training
alfarjo01,2021,NL,1B,,NO,Training
alfarjo01,2021,NL,C,,NO,Training
alfarjo01,2021,NL,OF,,NO,Training
alfarjo01,2022,NL,C,,NO,Training
alfarjo01,2023,NL,C,,NO,Validation
alfarjo01,2023,AL,C,,NO,Validation
alforan01,2017,AL,OF,,NO,Training
alforan01,2018,AL,OF,,NO,Training
alforan01,2019,AL,OF,,NO,Training
alforan01,2020,AL,OF,,NO,Training
alforan01,2020,NL,OF,,NO,Training
alforan01,2021,NL,OF,,NO,Training
alforan01,2022,NL,OF,,NO,Training
allarko01,2018,NL,P,,NO,Training
allarko01,2019,AL,P,,NO,Training
allarko01,2020,AL,P,,NO,Training
allarko01,2021,AL,P,,NO,Training
allarko01,2022,AL,P,,NO,Training
allarko01,2023,NL,P,,NO,Validation
alldrca01,2022,NL,P,,NO,Training
allenau01,2019,NL,1B,,NO,Training
allenau01,2019,NL,C,,NO,Training
allenau01,2020,AL,C,,NO,Training
allenau01,2021,AL,C,,NO,Training
allenau01,2022,AL,C,,NO,Training
allenco01,2013,AL,P,,NO,Training
allenco01,2014,AL,P,,NO,Training
allenco01,2015,AL,P,,NO,Training
allenco01,2016,AL,P,,NO,Training
allenco01,2017,AL,P,,NO,Training
allenco01,2018,AL,P,,NO,Training
allenco01,2019,AL,P,,NO,Training
allengr01,2017,AL,OF,,NO,Training
allengr01,2018,AL,OF,,NO,Training
allengr01,2019,AL,OF,,NO,Training
allengr01,2020,AL,OF,,NO,Training
allengr01,2020,NL,OF,,NO,Training
allengr01,2021,AL,OF,,NO,Training
allengr01,2022,NL,OF,,NO,Training
allengr01,2023,AL,OF,,NO,Validation
allenlo01,2019,NL,P,,NO,Training
allenlo01,2019,AL,P,,NO,Training
allenlo01,2020,AL,P,,NO,Training
allenlo01,2021,AL,P,,NO,Training
allenlo01,2022,AL,P,,NO,Training
allenlo01,2022,AL,P,,NO,Training
allenlo02,2023,AL,P,,NO,Validation
allenni02,2022,AL,2B,,NO,Training
allenni02,2022,AL,SS,,NO,Training
allenni02,2023,AL,2B,,NO,Validation
allenni02,2023,AL,SS,,NO,Validation
allgeni01,2021,AL,P,,NO,Training
almonab01,2013,AL,OF,,NO,Training
almonab01,2014,AL,OF,,NO,Training
almonab01,2014,NL,OF,,NO,Training
almonab01,2015,NL,OF,,NO,Training
almonab01,2015,AL,OF,,NO,Training
almonab01,2016,AL,OF,,NO,Training
almonab01,2017,AL,OF,,NO,Training
almonab01,2018,AL,OF,,NO,Training
almonab01,2019,NL,OF,,NO,Training
almonab01,2020,NL,OF,,NO,Training
almonab01,2021,NL,OF,,NO,Training
almonab01,2022,AL,OF,,NO,Training
almonab01,2023,NL,OF,,NO,Validation
almonmi01,2015,AL,P,,NO,Training
almonmi01,2017,AL,P,,NO,Training
almonmi01,2018,AL,P,,NO,Training
almonye01,2018,NL,P,,NO,Training
almonye01,2019,NL,P,,NO,Training
almonye01,2020,NL,P,,NO,Training
almonye01,2021,NL,P,,NO,Training
almonye01,2022,NL,P,,NO,Training
almonye01,2023,NL,P,,NO,Validation
almonzo01,2013,AL,OF,,NO,Training
almonzo01,2014,AL,OF,,NO,Training
almoral01,2016,NL,OF,,NO,Training
almoral01,2017,NL,OF,,NO,Training
almoral01,2018,NL,OF,,NO,Training
almoral01,2019,NL,OF,,NO,Training
almoral01,2020,NL,OF,,NO,Training
almoral01,2021,NL,OF,,NO,Training
almoral01,2021,NL,P,,NO,Training
almoral01,2022,NL,OF,,NO,Training
alonspe01,2019,NL,1B,,NO,Training
alonspe01,2020,NL,1B,,NO,Training
alonspe01,2021,NL,1B,,NO,Training
alonspe01,2022,NL,1B,,NO,Training
alonspe01,2023,NL,1B,,NO,Validation
alonsyo01,2013,NL,1B,,NO,Training
alonsyo01,2013,NL,2B,,NO,Training
alonsyo01,2013,NL,3B,,NO,Training
alonsyo01,2013,NL,OF,,NO,Training
alonsyo01,2014,NL,1B,,NO,Training
alonsyo01,2014,NL,3B,,NO,Training
alonsyo01,2015,NL,1B,,NO,Training
alonsyo01,2015,NL,3B,,NO,Training
alonsyo01,2016,AL,1B,,NO,Training
alonsyo01,2016,AL,3B,,NO,Training
alonsyo01,2017,AL,1B,,NO,Training
alonsyo01,2017,AL,1B,,NO,Training
alonsyo01,2018,AL,1B,,NO,Training
alonsyo01,2019,AL,1B,,NO,Training
alonsyo01,2019,NL,1B,,NO,Training
altavda01,2016,AL,P,,NO,Training
altavda01,2017,AL,P,,NO,Training
altavda01,2018,AL,P,,NO,Training
altavda01,2019,AL,P,,NO,Training
altavda01,2020,AL,P,,NO,Training
altavda01,2020,NL,P,,NO,Training
altavda01,2021,NL,P,,NO,Training
altheaa01,2014,NL,OF,,NO,Training
altheaa01,2015,NL,OF,,NO,Training
altheaa01,2016,NL,OF,,NO,Training
altheaa01,2017,NL,OF,,NO,Training
altheaa01,2018,NL,OF,,NO,Training
altheaa01,2019,NL,OF,,NO,Training
altheaa01,2019,NL,P,,NO,Training
altheaa01,2019,NL,OF,,NO,Training
altuvjo01,2013,AL,2B,,NO,Training
altuvjo01,2014,AL,2B,,NO,Training
altuvjo01,2015,AL,2B,Gold Glove,Yes,Training
altuvjo01,2016,AL,2B,,NO,Training
altuvjo01,2016,AL,SS,,NO,Training
altuvjo01,2017,AL,2B,,NO,Training
altuvjo01,2018,AL,2B,,NO,Training
altuvjo01,2019,AL,2B,,NO,Training
altuvjo01,2019,AL,SS,,NO,Training
altuvjo01,2020,AL,2B,,NO,Training
altuvjo01,2021,AL,2B,,NO,Training
altuvjo01,2022,AL,2B,,NO,Training
altuvjo01,2023,AL,2B,,NO,Validation
aluja01,2023,NL,2B,,NO,Validation
aluja01,2023,NL,3B,,NO,Validation
aluja01,2023,NL,OF,,NO,Validation
alvarda01,2014,NL,P,,NO,Training
alvarda01,2015,NL,P,,NO,Training
alvarda01,2016,NL,P,,NO,Training
alvarda01,2016,AL,P,,NO,Training
alvarda01,2017,AL,P,,NO,Training
alvarda02,2015,AL,OF,,NO,Training
alvarda02,2016,AL,OF,,NO,Training
alvared01,2020,NL,2B,,NO,Training
alvared01,2020,NL,3B,,NO,Training
alvared01,2020,NL,SS,,NO,Training
alvared01,2021,NL,2B,,NO,Training
alvared01,2021,NL,3B,,NO,Training
alvared01,2022,NL,3B,,NO,Training
alvared01,2022,NL,OF,,NO,Training
alvared01,2022,NL,SS,,NO,Training
alvarfr01,2022,NL,C,,NO,Training
alvarfr01,2023,NL,C,,NO,Validation
alvarhe01,2013,NL,P,,NO,Training
alvarhe01,2014,NL,P,,NO,Training
alvarhe01,2015,NL,P,,NO,Training
alvarhe01,2017,NL,P,,NO,Training
alvarjo02,2013,AL,P,,NO,Training
alvarjo02,2014,AL,P,,NO,Training
alvarjo02,2015,AL,P,,NO,Training
alvarjo02,2016,AL,P,,NO,Training
alvarjo02,2017,AL,P,,NO,Training
alvarjo02,2018,AL,P,,NO,Training
alvarjo02,2019,NL,P,,NO,Training
alvarjo02,2020,NL,P,,NO,Training
alvarjo02,2021,NL,P,,NO,Training
alvarjo02,2022,NL,P,,NO,Training
alvarjo03,2017,AL,P,,NO,Training
alvarjo03,2018,AL,1B,,NO,Training
alvarjo03,2018,AL,P,,NO,Training
alvarjo03,2019,AL,P,,NO,Training
alvarjo03,2020,AL,P,,NO,Training
alvarjo03,2021,NL,P,,NO,Training
alvarjo03,2022,NL,P,,NO,Training
alvarjo03,2023,NL,P,,NO,Validation
alvarpe01,2013,NL,3B,,NO,Training
alvarpe01,2014,NL,1B,,NO,Training
alvarpe01,2014,NL,3B,,NO,Training
alvarpe01,2015,NL,1B,,NO,Training
alvarpe01,2016,AL,3B,,NO,Training
alvarpe01,2017,AL,1B,,NO,Training
alvarpe01,2018,AL,1B,,NO,Training
alvarpe01,2018,AL,3B,,NO,Training
alvarrj01,2014,NL,P,,NO,Training
alvarrj01,2015,AL,P,,NO,Training
alvarrj01,2022,NL,P,,NO,Training
alvaryo01,2019,AL,OF,,NO,Training
alvaryo01,2021,AL,OF,,NO,Training
alvaryo01,2022,AL,OF,,NO,Training
alvaryo01,2023,AL,OF,,NO,Validation
alzolad01,2019,NL,P,,NO,Training
alzolad01,2020,NL,P,,NO,Training
alzolad01,2021,NL,P,,NO,Training
alzolad01,2022,NL,P,,NO,Training
alzolad01,2023,NL,P,,NO,Validation
amarial01,2013,NL,2B,,NO,Training
amarial01,2013,NL,3B,,NO,Training
amarial01,2013,NL,OF,,NO,Training
amarial01,2013,NL,SS,,NO,Training
amarial01,2014,NL,2B,,NO,Training
amarial01,2014,NL,3B,,NO,Training
amarial01,2014,NL,OF,,NO,Training
amarial01,2014,NL,SS,,NO,Training
amarial01,2015,NL,2B,,NO,Training
amarial01,2015,NL,3B,,NO,Training
amarial01,2015,NL,OF,,NO,Training
amarial01,2015,NL,P,,NO,Training
amarial01,2015,NL,SS,,NO,Training
amarial01,2016,NL,2B,,NO,Training
amarial01,2016,NL,3B,,NO,Training
amarial01,2016,NL,OF,,NO,Training
amarial01,2016,NL,P,,NO,Training
amarial01,2016,NL,SS,,NO,Training
amarial01,2017,NL,2B,,NO,Training
amarial01,2017,NL,3B,,NO,Training
amarial01,2017,NL,OF,,NO,Training
amarial01,2017,NL,SS,,NO,Training
amayaja01,2023,NL,2B,,NO,Validation
amayaja01,2023,NL,SS,,NO,Validation
amayami01,2023,NL,C,,NO,Validation
ambrihe01,2013,AL,P,,NO,Training
ambrihe01,2014,NL,P,,NO,Training
amburtr01,2021,AL,OF,,NO,Training
amesst01,2013,NL,P,,NO,Training
anderbr04,2013,AL,P,,NO,Training
anderbr04,2014,NL,P,,NO,Training
anderbr04,2015,NL,P,,NO,Training
anderbr04,2016,NL,P,,NO,Training
anderbr04,2017,NL,P,,NO,Training
anderbr04,2017,AL,P,,NO,Training
anderbr04,2018,AL,P,,NO,Training
anderbr04,2019,AL,P,,NO,Training
anderbr04,2020,NL,P,,NO,Training
anderbr04,2021,NL,P,,NO,Training
anderbr05,2013,AL,C,,NO,Training
anderbr05,2015,AL,C,,NO,Training
anderbr06,2017,NL,3B,,NO,Training
anderbr06,2018,NL,3B,,NO,Training
anderbr06,2018,NL,OF,,NO,Training
anderbr06,2019,NL,3B,,NO,Training
anderbr06,2019,NL,OF,,NO,Training
anderbr06,2020,NL,1B,,NO,Training
anderbr06,2020,NL,2B,,NO,Training
anderbr06,2020,NL,3B,,NO,Training
anderbr06,2021,NL,3B,,NO,Training
anderbr06,2021,NL,SS,,NO,Training
anderbr06,2022,NL,2B,,NO,Training
anderbr06,2022,NL,3B,,NO,Training
anderbr06,2022,NL,OF,,NO,Training
anderbr06,2023,NL,3B,,NO,Validation
anderbr06,2023,NL,OF,,NO,Validation
anderch01,2014,NL,P,,NO,Training
anderch01,2015,NL,P,,NO,Training
anderch01,2016,NL,P,,NO,Training
anderch01,2017,NL,P,,NO,Training
anderch01,2018,NL,P,,NO,Training
anderch01,2019,NL,P,,NO,Training
anderch01,2020,AL,P,,NO,Training
anderch01,2021,NL,P,,NO,Training
anderch01,2022,NL,P,,NO,Training
anderch01,2023,AL,P,,NO,Validation
anderch01,2023,NL,P,,NO,Validation
anderco01,2015,AL,P,,NO,Training
anderco01,2016,AL,P,,NO,Training
anderco01,2019,AL,P,,NO,Training
anderdr02,2017,NL,P,,NO,Training
